ProducID,Color,Image
OCSUPREME,Amber Red Orange,http://www.owenscorning.com/NetworkShare/Roofing/Images/ForOC-Carousel-Supreme-Amber-620x388.jpg
OCSUPREME,Aspen Gray,http://www.owenscorning.com/NetworkShare/Roofing/Images/ForOC-Carousel-Supreme-AspenGray-620x388.jpg
OCSUPREME,Autumn Brown,http://www.owenscorning.com/NetworkShare/Roofing/Images/ForOC-Carousel-Supreme-AutumnBrown-620x388.jpg
OCSUPREME,Brownwood,http://www.owenscorning.com/NetworkShare/Roofing/Images/ForOC-Carousel-Supreme-Brownwood-620x388.jpg
OCSUPREME,Chapel Gray,http://www.reesewholesale.com/media/catalog/product/cache/1/image/4f0d09c9239870df37349d7e75a4d576/c/h/chapelgray_thumbnail_enlarged_1.jpg
OCSUPREME,Desert Tan,http://www.owenscorning.com/NetworkShare/Roofing/Images/ForOC-Carousel-Supreme-DesertTan-620x388.jpg
OCSUPREME,Driftwood,http://www.owenscorning.com/NetworkShare/Roofing/Images/ForOC-Carousel-Supreme-Driftwood-620x388.jpg
OCSUPREME,Estate Gray,http://www.owenscorning.com/NetworkShare/Roofing/Images/ForOC-Carousel-Supreme-EstateGray-620x388.jpg
OCSUPREME,Onyx Black,http://www.owenscorning.com/NetworkShare/Roofing/Images/ForOC-Carousel-Supreme-OnyxBlack-620x388.jpg
OCSUPREME,Shasta White,http://www.owenscorning.com/NetworkShare/Roofing/Images/ForOC-Carousel-Supreme-ShastaWhite-620x388.jpg
OCOAKRIDGE,Aged Cedar,http://www.owenscorning.com/NetworkShare/Roofing/Images/ForOC-Carousel-Oakridge-Artisan-AgedCedar-620x388.jpg
OCOAKRIDGE,Amber,http://www.owenscorning.com/NetworkShare/Roofing/Images/ForOC-Carousel-Oakridge-Traditional-Amber-620x388.jpg
OCOAKRIDGE,Black Walnut,http://www.owenscorning.com/NetworkShare/Roofing/Images/ForOC-Carousel-Oakridge-Artisan-BlackWalnut-620x388.jpg
